Name,Date,Payment
Joseph Airdo,14.10.2010,110
Joseph Airdo,04.11.2009,59
Christina Vanderzanden,02.07.2009,1455
Julie Prescott,02.03.2012,11041
Guy Thornton,04.02.2011,74
Guy Thornton,04.02.2011,4804
Meg O'Connel,18.03.2011,76
Meg O'Connel,18.03.2011,18057
Rob Beeghly,24.07.2010,373
Ivan Gibson,17.10.2012,66
Annie Thurman,27.11.2011,137
Annie Thurman,27.11.2011,13
Bill Eplett,05.03.2009,186
Bill Eplett,05.03.2009,196
Bill Eplett,05.03.2009,187
Maria Bertelson,25.01.2012,481
Maria Bertelson,25.01.2012,159
Julie Prescott,08.05.2010,172
Meg O'Connel,28.09.2009,84
Guy Thornton,02.07.2012,445
Meg O'Connel,04.10.2010,2329
Meg O'Connel,26.05.2009,106
Meg O'Connel,26.05.2009,698
Christina Vanderzanden,20.02.2010,1370
Doug O'Connell,04.12.2010,39
Doug O'Connell,04.12.2010,11
Christina Vanderzanden,05.08.2010,196
Christina Vanderzanden,05.08.2010,377
Maria Bertelson,09.12.2011,170
Maria Bertelson,09.12.2011,350
Christine Sundaresam,04.02.2009,70
Ivan Gibson,28.05.2012,112
Ivan Gibson,28.05.2012,250
Christina Vanderzanden,05.08.2012,1255
Christina Vanderzanden,05.08.2012,412
Craig Carroll,19.06.2009,46
Liz MacKendrick,02.03.2010,304
Liz MacKendrick,02.03.2010,192
Craig Carroll,11.03.2009,318
Christine Kargatis,07.09.2011,48
Liz MacKendrick,23.07.2010,1006
Liz MacKendrick,23.07.2010,6478
Christine Kargatis,07.04.2009,245
Bobby Odegard,23.03.2012,316
Bobby Odegard,09.08.2010,109
Craig Carroll,29.06.2011,6206
Russell Applegate,22.06.2009,15384
Russell Applegate,22.06.2009,1637
Bill Donatelli,21.01.2012,1555
Bill Donatelli,07.12.2010,357
Bill Donatelli,07.12.2010,113
Bill Donatelli,07.12.2010,2063
Bill Donatelli,02.09.2012,117
Bill Donatelli,02.09.2012,484
Bobby Odegard,06.06.2010,34
Bobby Odegard,06.06.2010,702
Bill Donatelli,14.12.2010,127
Bill Donatelli,14.12.2010,907
Bill Donatelli,14.12.2010,883
Bill Donatelli,14.12.2010,58
Bill Donatelli,10.05.2010,1538
Bill Donatelli,10.05.2010,147
Duane Benoit,12.04.2011,474
Duane Benoit,12.04.2011,849
Liz MacKendrick,29.01.2009,1043
Bill Donatelli,12.12.2009,271
Bobby Odegard,25.01.2012,251
Russell Applegate,12.06.2012,64
Russell Applegate,06.04.2009,78
Duane Benoit,10.04.2009,9493
Bill Donatelli,24.09.2009,46
Bobby Odegard,30.06.2011,2954
Bobby Odegard,30.06.2011,3375
Bill Donatelli,03.01.2009,86
Bill Donatelli,03.01.2009,755
Russell Applegate,24.06.2010,108
Bill Donatelli,22.04.2012,36
Bill Donatelli,22.04.2012,388
Joel Jenkins,22.04.2010,231
Joel Jenkins,03.05.2011,150
Brad Eason,12.12.2010,240
Brad Eason,12.12.2010,529
Brad Eason,11.04.2009,887
Brad Eason,11.04.2009,356
Bill Donatelli,15.03.2011,9499
Russell Applegate,20.12.2011,2545
Duane Benoit,23.03.2012,728
Jason Gross,14.05.2011,79
Harold Pawlan,11.06.2009,1495
Bill Donatelli,30.03.2011,24
Duane Benoit,19.04.2011,709
Duane Benoit,19.04.2011,60
Bill Donatelli,06.02.2009,7549
Bill Donatelli,06.02.2009,1319
Brad Eason,23.06.2009,4515
Brad Eason,23.06.2009,79
Harold Pawlan,05.02.2011,113
Harold Pawlan,05.02.2011,1563
Adam Bellavance,31.05.2011,1975
Adam Bellavance,31.05.2011,73
Harold Pawlan,05.07.2012,12
Cari Sayre,19.09.2010,2668
Cari Sayre,19.09.2010,2236
Lisa DeCherney,20.12.2012,4165
Harold Pawlan,21.07.2011,117
Adam Bellavance,07.03.2010,50
Bill Donatelli,19.07.2010,21
Bill Donatelli,19.07.2010,5347
Harold Pawlan,12.06.2009,4581
Roy Skaria,11.04.2009,431
Joel Jenkins,20.05.2010,148
Bill Donatelli,13.10.2012,191
Sean O'Donnell,14.06.2009,66
Sean O'Donnell,26.02.2009,127
Sean O'Donnell,26.02.2009,990
Susan Vittorini,15.04.2012,28
Sandra Glassco,20.06.2010,214
Sandra Glassco,22.06.2011,7547
Sandra Glassco,22.06.2011,224
Sandra Glassco,22.06.2011,312
Sandra Glassco,24.06.2012,14
Skye Norling,16.07.2009,244
Skye Norling,16.07.2009,756
Skye Norling,16.07.2009,593
Sean O'Donnell,27.01.2009,101
Susan Vittorini,28.02.2010,9473
Shirley Schmidt,30.01.2012,796
Sandra Glassco,10.01.2011,70
Sandra Glassco,10.01.2011,418
Sandra Glassco,10.01.2011,18
Sandra Glassco,10.01.2011,46
Sandra Glassco,28.04.2009,129
Sandra Glassco,28.04.2009,2461
Skye Norling,13.09.2009,8295
Sandra Glassco,27.09.2011,6477
Rick Wilson,23.06.2010,295
Sandra Glassco,22.02.2010,16
Rick Wilson,07.06.2012,29
Rick Wilson,07.06.2012,202
Skye Norling,21.01.2010,82
Sandra Glassco,07.01.2010,147
Sandra Glassco,07.01.2010,50
Sandra Glassco,07.01.2010,6983
Sandra Glassco,01.12.2012,465
Sandra Glassco,01.12.2012,317
Rick Wilson,10.12.2012,173
Pauline Chand,18.11.2012,33
Jennifer Halladay,15.12.2012,518
Ritsa Hightower,27.10.2012,2444
Joni Blumstein,11.07.2012,233
Pete Armstrong,09.07.2012,9419
Pete Armstrong,09.07.2012,6
Pete Armstrong,09.07.2012,175
Pete Armstrong,09.07.2012,1265
Pete Armstrong,25.04.2011,57
Joni Blumstein,31.12.2011,11533
Joni Blumstein,31.12.2011,146
Pauline Chand,17.07.2009,1506
Pauline Chand,16.01.2010,126
Pauline Chand,16.01.2010,33
Anna Gayman,16.07.2009,289
Joni Blumstein,15.05.2010,358
Nat Gilpin,19.11.2009,583
Anna Gayman,10.02.2010,1297
Pauline Chand,18.10.2012,79
Pauline Chand,18.10.2012,110
Rose O'Brian,08.03.2009,2451
Rose O'Brian,08.03.2009,851
Rose O'Brian,12.10.2012,3506
Jennifer Halladay,09.10.2010,97
Joni Blumstein,03.07.2011,5052
Joni Blumstein,12.12.2009,303
Joni Blumstein,12.12.2009,843
Joni Blumstein,18.12.2012,118
Ritsa Hightower,23.10.2010,2238
Ritsa Hightower,23.10.2010,21
Ritsa Hightower,23.10.2010,282
Ritsa Hightower,23.10.2010,217
Ritsa Hightower,23.10.2010,2747
Joni Blumstein,14.02.2009,257
Pete Armstrong,05.01.2012,154
Joni Blumstein,16.08.2012,823
Rose O'Brian,10.04.2012,89
Rose O'Brian,10.04.2012,1540
Nat Gilpin,06.12.2009,87
Becky Castell,25.09.2010,187
Becky Castell,25.09.2010,386
Becky Castell,25.09.2010,1048
Joni Blumstein,09.01.2009,46
Pauline Chand,19.10.2012,322
Pauline Chand,19.10.2012,133
Pauline Chand,19.10.2012,3269
Nat Gilpin,06.04.2011,2227
Joni Blumstein,11.01.2011,1965
Ritsa Hightower,28.08.2012,2005
Pete Armstrong,22.04.2011,28
Pete Armstrong,22.04.2011,27
Nat Gilpin,10.06.2009,133
Joni Blumstein,26.04.2011,400
Daniel Raglin,14.03.2012,612
Rose O'Brian,29.06.2011,136
Pauline Chand,05.01.2009,4201
Pauline Chand,05.01.2009,8958
Pauline Chand,05.01.2009,4914
Jennifer Halladay,08.03.2010,120
Jennifer Halladay,08.03.2010,178
Pauline Chand,18.01.2011,230
Pauline Chand,18.01.2011,1592
Anna Gayman,27.04.2009,150
Pauline Chand,05.10.2011,339
Pauline Chand,05.10.2011,363
Pauline Chand,07.01.2009,608
Pete Armstrong,25.09.2010,118
Pete Armstrong,25.09.2010,2463
Nat Gilpin,29.04.2012,2252
Ritsa Hightower,24.08.2010,705
Ritsa Hightower,24.08.2010,1042
Daniel Raglin,16.03.2009,212
Nat Gilpin,15.04.2010,1031
Pauline Chand,20.02.2010,117
Corinna Mitchell,22.12.2010,3323
Corinna Mitchell,22.12.2010,28
Ritsa Hightower,30.03.2010,7557
Ritsa Hightower,30.03.2010,47
Ritsa Hightower,29.09.2010,8704
Ritsa Hightower,29.09.2010,24051
Eva Jacobs,11.06.2009,21
Eva Jacobs,11.06.2009,1389
Corinna Mitchell,21.06.2009,2921
Corinna Mitchell,21.06.2009,262
Jas O'Carroll,04.10.2009,104
Jas O'Carroll,04.10.2009,185
Jennifer Halladay,19.01.2012,6629
Jennifer Halladay,27.02.2012,9759
Ritsa Hightower,12.07.2012,129
Pauline Chand,01.06.2012,6740
Pauline Chand,14.03.2010,2723
Pauline Chand,14.03.2010,347
Joni Blumstein,02.02.2010,6
Joni Blumstein,12.05.2012,26
Nat Gilpin,15.03.2012,33
Ritsa Hightower,12.05.2012,187
Ritsa Hightower,12.05.2012,2255
Joni Blumstein,02.01.2010,70
Jas O'Carroll,17.08.2009,59
Eva Jacobs,17.08.2012,988
Daniel Raglin,28.09.2012,1823
Pauline Chand,20.03.2012,257
Pauline Chand,26.06.2010,39
Pauline Chand,26.06.2010,1305
Paul Prost,09.08.2009,239
Philip Brown,16.06.2010,135
Philip Brown,16.06.2010,5489
Philip Brown,21.10.2009,52
Michael Nguyen,21.12.2010,14557
Philip Brown,28.03.2009,523
Philip Brown,28.03.2009,199
Lisa DeCherney,02.04.2011,514
Lisa DeCherney,02.04.2011,37
Michael Nguyen,21.12.2009,2610
Lisa DeCherney,14.02.2010,1576
Lisa DeCherney,25.09.2011,8128
Lisa DeCherney,25.09.2011,5353
Philip Brown,08.12.2010,17717
Paul Prost,19.10.2010,1646
Lisa DeCherney,30.12.2010,260
Philip Brown,03.08.2010,3269
Lisa DeCherney,08.06.2012,116
Paul MacIntyre,15.09.2011,167
Paul MacIntyre,15.09.2011,261
Paul Prost,23.03.2009,103
Paul Prost,23.03.2009,435
Paul Prost,25.03.2010,30
Paul Prost,17.01.2009,280
Paul MacIntyre,14.07.2012,5126
Paul MacIntyre,27.12.2009,88
Paul MacIntyre,27.12.2009,4760
Paul MacIntyre,22.10.2011,1503
Tamara Dahlen,17.03.2011,3813
Erin Creighton,26.10.2010,2030
Erin Creighton,26.10.2010,1118
Henry MacAllister,13.06.2009,1240
Candace McMahon,19.07.2011,357
Tamara Chand,22.01.2010,4914
Tamara Chand,22.01.2010,465
Duane Huffman,21.11.2009,173
Duane Huffman,07.10.2011,125
Edward Nazzal,08.03.2010,1247
Kelly Lampkin,19.04.2009,132
Anthony Witt,19.02.2012,341
Ted Trevino,17.06.2011,1297
Ed Ludwig,18.05.2012,2048
Ed Ludwig,18.05.2012,57
Jeremy Ellison,14.12.2009,302
Alan Hwang,14.03.2012,186
Kelly Lampkin,12.09.2011,103
Kelly Lampkin,12.09.2011,16
Eileen Kiefer,21.10.2010,35
Eileen Kiefer,21.10.2010,5029
Ted Trevino,29.04.2012,3363
Tamara Dahlen,11.03.2012,16587
Tamara Dahlen,11.03.2012,508
James Lanier,14.11.2011,143
Edward Becker,16.03.2011,17
Gary Zandusky,22.09.2011,8186
Ann Blume,22.11.2009,260
Ann Blume,22.11.2009,55
Erin Smith,28.09.2010,1143
Allen Golden,06.10.2011,391
Erin Creighton,29.09.2009,49
Gary Zandusky,28.12.2009,3731
Gary Zandusky,30.03.2010,353
Gary Zandusky,30.03.2010,720
Tamara Dahlen,11.04.2011,3821
Gary Zandusky,03.06.2009,2509
Edward Nazzal,28.01.2010,4888
Edward Nazzal,28.01.2010,64
Frank Carlisle,17.03.2011,886
Gary Hansen,05.01.2012,121
Nancy Lomonaco,24.05.2009,5262
Anna Haberlin,16.05.2010,76
Anna Haberlin,16.05.2010,225
Tamara Chand,01.12.2009,194
Tamara Chand,01.12.2009,1621
Kelly Lampkin,01.05.2011,156
Erin Ashbrook,01.07.2011,1560
Darren Budd,20.05.2012,1003
Darren Budd,20.05.2012,178
Bill Stewart,02.11.2009,458
James Lanier,01.03.2009,435
Christine Phan,15.08.2012,219
Tamara Dahlen,04.01.2009,63
Tamara Dahlen,04.01.2009,151
James Lanier,13.10.2009,153
Christine Phan,05.06.2010,4335
Christine Phan,05.06.2010,1151
Alan Hwang,23.02.2012,200
Alan Hwang,23.02.2012,69
Darren Budd,31.10.2012,1736
Darren Budd,31.10.2012,338
Eugene Hildebrand,23.04.2009,2349
Eugene Hildebrand,23.04.2009,2657
Eugene Hildebrand,23.04.2009,9580
Edward Nazzal,16.08.2009,192
Darren Budd,24.11.2009,1210
Edward Becker,10.01.2010,112
Edward Becker,10.01.2010,232
Melanie Page,16.09.2009,156
Jesus Ocampo,23.10.2010,1968
Darren Powers,20.12.2009,1082
Patrick Bzostek,22.06.2011,483
Patrick Bzostek,22.06.2011,2970
Darren Budd,17.08.2010,165
Darren Budd,17.08.2010,1786
Melanie Page,20.04.2010,2340
Melanie Page,20.04.2010,533
Jesus Ocampo,24.02.2010,102
Jesus Ocampo,24.02.2010,102
Grace Kelly,09.12.2011,686
Grace Kelly,09.12.2011,1275
Darren Budd,12.12.2010,10341
Darren Budd,12.12.2010,55
Darren Budd,12.12.2010,38
Kelly Lampkin,30.11.2009,562
Kelly Lampkin,30.11.2009,56
Kelly Lampkin,30.11.2009,2431
Kelly Lampkin,30.11.2009,113
Dan Lawera,06.07.2011,516
George Ashbrook,11.06.2012,5023
Henry MacAllister,08.03.2010,26
Kelly Lampkin,08.04.2009,1563
Dave Hallsten,02.12.2012,66
Edward Becker,18.07.2011,141
Edward Becker,18.07.2011,212
Nancy Lomonaco,22.07.2009,136
Arthur Wiediger,15.11.2009,81
Arthur Wiediger,15.11.2009,883
Duane Huffman,15.06.2012,750
Jim Mitchum,13.10.2010,972
Erin Ashbrook,04.12.2009,293
Erin Ashbrook,04.12.2009,2207
Alan Hwang,03.04.2012,2703
Alan Hwang,03.04.2012,1538
Edward Becker,21.05.2009,282
Andy Yotov,11.08.2010,37
Frank Hawley,27.04.2012,1447
Edward Becker,20.02.2010,711
Edward Becker,20.02.2010,498
Jim Mitchum,14.08.2009,159
Jim Mitchum,14.08.2009,3296
Theresa Coyne,07.03.2010,351
Theresa Coyne,07.03.2010,74
Theresa Coyne,07.03.2010,195
Frank Hawley,12.02.2009,3221
Frank Hawley,12.02.2009,2368
Ivan Liston,10.09.2011,522
Ivan Liston,10.09.2011,1218
Darren Powers,10.01.2009,199
Darren Powers,10.01.2009,63
Darren Powers,09.01.2011,269
Darren Powers,09.01.2011,848
Anthony Witt,05.09.2012,1992
David Smith,12.02.2009,104
David Smith,12.02.2009,125
Ted Trevino,10.02.2010,633
Naresj Patel,09.08.2011,10
Naresj Patel,09.08.2011,14
Ruben Ausman,20.07.2010,6933
Ruben Ausman,20.07.2010,55
Roy French,19.01.2011,42
Larry Hughes,23.07.2011,515
Magdelene Morse,20.10.2009,14521
Magdelene Morse,20.10.2009,3926
Gary Hansen,08.04.2011,895
Alan Hwang,10.06.2011,159
Alan Hwang,10.06.2011,139
Darren Budd,05.02.2012,75
Nancy Lomonaco,24.12.2010,51
Dan Lawera,28.09.2009,1737
Ed Ludwig,10.03.2012,2430
Ed Ludwig,10.03.2012,219
Tamara Dahlen,13.10.2009,1402
Ivan Liston,30.10.2012,81
Dave Hallsten,12.03.2012,236
Bill Stewart,23.09.2012,2952
Ivan Liston,29.04.2011,2283
Ivan Liston,29.04.2011,11366
Nancy Lomonaco,20.05.2011,259
Nancy Lomonaco,20.05.2011,4610
Erin Creighton,28.10.2011,110
Alan Hwang,21.07.2012,489
Erin Creighton,25.11.2009,849
Erin Creighton,25.11.2009,6931
Erin Creighton,25.11.2009,2220
Ed Ludwig,12.07.2012,312
Ed Ludwig,12.07.2012,101
Larry Hughes,13.01.2010,982
Kelly Lampkin,05.08.2010,1568
Kelly Lampkin,05.08.2010,1915
George Ashbrook,05.04.2012,87
Henry MacAllister,16.03.2012,83
Naresj Patel,02.11.2009,235
Naresj Patel,02.11.2009,187
Anna Haberlin,10.04.2011,4599
Anna Haberlin,10.04.2011,2673
Anna Haberlin,10.04.2011,397
George Ashbrook,07.01.2009,611
George Ashbrook,07.01.2009,158
Jeremy Ellison,29.10.2012,1299
Larry Hughes,06.11.2009,443
Larry Hughes,06.11.2009,54
Erin Creighton,08.09.2012,1207
Erin Creighton,08.09.2012,2618
Jonathan Howell,12.08.2009,52
Erin Creighton,31.07.2009,3946
Erin Creighton,31.07.2009,5394
Linda Cazamias,18.09.2009,234
Linda Cazamias,18.09.2009,1642
Darren Powers,25.12.2012,279
Darren Powers,25.12.2012,539
Edward Nazzal,11.09.2012,125
George Ashbrook,13.08.2010,48
George Ashbrook,13.08.2010,830
Nat Carroll,29.09.2009,616
Erin Ashbrook,18.10.2012,33
James Lanier,12.03.2011,584
James Lanier,12.03.2011,281
Anna Haberlin,24.05.2011,539
Duane Huffman,20.05.2009,752
Duane Huffman,20.05.2009,220
Duane Huffman,20.05.2009,1259
Magdelene Morse,10.03.2011,450
Magdelene Morse,10.03.2011,1193
Arthur Wiediger,18.05.2009,3596
Gary Mitchum,11.08.2009,17
Gary Mitchum,11.08.2009,25
George Ashbrook,11.09.2010,553
Gary Mitchum,07.06.2012,438
Matt Hagelstein,26.02.2011,155
Andy Reiter,12.01.2012,146
Magdelene Morse,01.04.2012,2479
Dave Hallsten,07.02.2011,3352
Gary Zandusky,24.10.2011,532
Candace McMahon,29.07.2010,217
Alan Hwang,07.10.2011,258
Edward Nazzal,06.05.2012,5382
Edward Nazzal,06.05.2012,1036
Candace McMahon,28.03.2012,233
Allen Golden,29.08.2012,19
Allen Golden,29.08.2012,141
Erin Creighton,14.02.2011,305
Erin Creighton,14.02.2011,104
Erin Creighton,14.02.2011,198
Erin Creighton,14.02.2011,4366
Melanie Page,06.04.2010,476
Mike Caudle,21.12.2011,1756
Erin Ashbrook,09.10.2009,1136
Erin Ashbrook,09.10.2009,326
Naresj Patel,30.07.2011,307
Naresj Patel,30.07.2011,608
Erin Ashbrook,16.02.2011,1010
Erin Ashbrook,16.02.2011,30
Arthur Wiediger,05.09.2012,4588
Arthur Wiediger,05.09.2012,4542
Naresj Patel,10.08.2012,6164
Darren Budd,09.11.2012,1279
Cynthia Arntzen,21.11.2009,67
Ed Ludwig,22.01.2010,345
Nat Carroll,30.07.2010,13
Nat Carroll,30.07.2010,1049
David Smith,03.02.2010,2354
David Smith,03.02.2010,36
Duane Huffman,11.06.2011,128
Edward Nazzal,26.03.2012,82
Edward Nazzal,18.11.2012,13922
Edward Nazzal,18.11.2012,468
George Ashbrook,09.04.2010,39
Jonathan Howell,30.09.2010,22
Cynthia Arntzen,27.01.2011,1760
Cynthia Arntzen,27.01.2011,1437
Cynthia Arntzen,27.01.2011,126
Cynthia Arntzen,27.01.2011,5798
Noah Childs,18.12.2011,941
Brian Stugart,25.01.2011,693
Brian Stugart,25.01.2011,4475
Christine Phan,17.09.2010,300
Matt Hagelstein,30.12.2012,257
Frank Carlisle,09.07.2012,311
George Bell,22.04.2011,341
Candace McMahon,17.04.2012,710
Edward Nazzal,16.06.2011,365
George Bell,04.07.2011,99
George Bell,04.07.2011,510
George Bell,04.07.2011,735
Edward Nazzal,30.07.2009,212
Edward Becker,12.04.2011,167
Candace McMahon,20.03.2012,142
Ruben Ausman,19.12.2012,1772
Naresj Patel,15.03.2009,396
Patrick Bzostek,22.11.2010,14241
Patrick Bzostek,22.11.2010,167
Frank Carlisle,15.03.2010,1613
Alan Hwang,02.03.2010,393
Darren Budd,15.09.2011,846
Darren Budd,15.09.2011,467
Darren Budd,15.09.2011,64
Dave Hallsten,24.11.2010,38
Dave Hallsten,24.11.2010,183
Dan Lawera,14.09.2010,2827
Dan Lawera,14.09.2010,7835
Dan Lawera,14.09.2010,128
Edward Nazzal,07.08.2011,386
Bill Stewart,02.04.2011,98
Bill Stewart,02.04.2011,26
Bill Stewart,02.04.2011,488
Ed Ludwig,24.08.2009,146
Ed Ludwig,24.08.2009,877
Gary Mitchum,21.07.2010,270
Gary Mitchum,21.07.2010,99
Nat Carroll,10.04.2009,203
Linda Cazamias,17.09.2009,4187
Linda Cazamias,17.09.2009,6057
Naresj Patel,06.04.2012,68
Naresj Patel,06.04.2012,542
Naresj Patel,06.04.2012,15175
Naresj Patel,06.04.2012,1084
Gary Zandusky,22.02.2010,235
Gary Zandusky,22.02.2010,1815
Joni Sundaresam,19.09.2012,319
Duane Huffman,22.03.2010,1512
Theresa Coyne,20.10.2010,7287
George Bell,21.03.2010,30
Dave Hallsten,07.07.2012,121
Cynthia Arntzen,09.04.2011,48
Erin Creighton,07.02.2011,3901
Erin Creighton,07.02.2011,248
Duane Huffman,18.10.2010,110
Gary Hansen,04.08.2010,191
Gary Hansen,04.08.2010,1235
Joni Sundaresam,08.03.2012,106
Joni Sundaresam,08.03.2012,179
Alan Hwang,11.11.2012,378
Alan Hwang,11.11.2012,732
Duane Huffman,29.06.2009,285
Edward Becker,16.02.2009,312
Edward Becker,16.02.2009,9863
David Smith,27.12.2010,127
Magdelene Morse,25.11.2010,1575
Magdelene Morse,25.11.2010,188
Michelle Huthwaite,25.11.2009,86
David Philippe,19.08.2012,1754
Nat Carroll,24.03.2009,581
Darren Budd,29.03.2012,1507
James Lanier,16.12.2011,372
James Lanier,16.12.2011,96
Noah Childs,27.08.2010,3461
Duane Huffman,10.12.2011,7342
Duane Huffman,19.10.2012,269
Dan Lawera,28.10.2011,2536
Dan Lawera,28.10.2011,39
Dan Lawera,28.10.2011,764
Alan Hwang,13.02.2012,136
Duane Huffman,29.09.2010,205
Duane Huffman,29.09.2010,126
Alan Hwang,18.11.2010,2702
Alan Hwang,09.11.2009,30
Amy Cox,23.10.2009,2231
Amy Cox,23.10.2009,201
Darren Budd,14.08.2010,72
Darren Budd,14.08.2010,2063
Mike Caudle,18.10.2011,12805
Mike Caudle,18.10.2011,1435
Darren Budd,24.09.2012,4582
James Lanier,04.03.2011,11266
James Lanier,04.03.2011,72
James Lanier,04.03.2011,10
Erin Creighton,25.05.2010,130
Cari MacIntyre,13.08.2010,162
Allen Golden,10.09.2010,37
Allen Golden,10.09.2010,964
Eudokia Martin,05.04.2009,565
Eudokia Martin,05.04.2009,129
Cari MacIntyre,28.01.2012,2381
Ruben Ausman,23.02.2009,241
Ruben Ausman,23.02.2009,1025
Anna Haberlin,30.08.2011,1492
Fred Hopkins,19.12.2010,141
Fred Hopkins,19.12.2010,304
Brian Stugart,24.03.2010,6246
Amy Cox,25.05.2012,3638
Amy Cox,25.05.2012,1327
Cari MacIntyre,12.12.2009,14476
Cari MacIntyre,12.12.2009,307
Eudokia Martin,30.11.2010,527
Michelle Huthwaite,04.05.2011,211
Bill Stewart,15.02.2010,632
Mike Caudle,20.04.2011,490
Mike Caudle,20.04.2011,206
Andy Reiter,14.07.2010,414
Erin Ashbrook,15.02.2012,543
Jim Mitchum,14.09.2009,125
Amy Cox,12.09.2009,61
Amy Cox,12.09.2009,387
Cynthia Arntzen,08.05.2012,4201
Cynthia Arntzen,08.05.2012,56
Melanie Page,05.05.2009,5568
Melanie Page,05.05.2009,503
Melanie Page,05.05.2009,796
Dave Hallsten,17.04.2011,1980
Dave Hallsten,17.04.2011,643
Eugene Hildebrand,21.05.2009,93
Nancy Lomonaco,25.06.2010,9014
Nancy Lomonaco,25.06.2010,175
Gary Zandusky,26.10.2012,465
Andy Yotov,17.07.2010,185
Cynthia Arntzen,14.05.2012,931
Edward Becker,13.06.2009,878
Naresj Patel,04.09.2012,1113
Ed Ludwig,27.06.2010,125
Ed Ludwig,27.06.2010,11277
Ed Ludwig,27.06.2010,111
Roy French,09.04.2009,4075
Aimee Bixby,24.02.2011,1737
Jesus Ocampo,18.02.2011,2905
Naresj Patel,17.08.2009,1982
Darren Budd,07.07.2012,871
Darren Budd,07.07.2012,43
Darren Budd,21.02.2010,61
Edward Nazzal,30.09.2010,53
Edward Nazzal,30.09.2010,145
Eugene Hildebrand,12.09.2009,346
Eileen Kiefer,04.07.2009,916
Jonathan Howell,31.01.2012,788
Brian Stugart,09.10.2011,1223
Magdelene Morse,02.02.2012,66
Edward Becker,10.02.2009,138
Tamara Dahlen,22.05.2011,847
Eugene Hildebrand,24.09.2009,339
Eugene Hildebrand,24.09.2009,43
Christine Phan,10.01.2011,188
Christine Phan,10.01.2011,32
Christine Phan,10.01.2011,1494
Erin Smith,22.07.2010,50
Ted Trevino,26.04.2012,3060
Ted Trevino,26.04.2012,25
Tamara Dahlen,21.12.2010,102
Eileen Kiefer,03.10.2011,946
Ted Trevino,16.02.2010,142
David Philippe,06.10.2012,388
James Lanier,10.04.2009,843
James Lanier,10.04.2009,3978
Anemone Ratner,09.03.2010,23
Anemone Ratner,09.03.2010,139
Anemone Ratner,09.03.2010,1222
Cari MacIntyre,30.07.2009,60
Cari MacIntyre,30.07.2009,377
Cari MacIntyre,30.07.2009,125
Melanie Page,07.12.2011,382
Melanie Page,07.12.2011,2574
Melanie Page,07.12.2011,728
Melanie Page,07.12.2011,2795
Melanie Page,07.12.2011,2565
Cynthia Arntzen,20.01.2009,3970
Erin Smith,14.05.2010,186
Chris Selesnick,09.04.2012,129
Chris Selesnick,09.04.2012,1237
Noel Staavos,03.12.2010,3234
Dean Braden,13.03.2011,429
George Bell,14.06.2010,55
George Bell,14.06.2010,700
Edward Becker,09.05.2010,36
Lena Creighton,17.06.2010,188
Joni Sundaresam,09.02.2010,47
Tamara Chand,03.05.2011,113
Tamara Chand,03.05.2011,181
Tamara Chand,03.05.2011,32
Anthony Witt,24.12.2012,1674
Anthony Witt,24.12.2012,7110
Erin Smith,28.05.2012,976
Erin Smith,28.05.2012,4835
George Ashbrook,19.11.2010,2085
George Ashbrook,11.02.2009,1003
Nat Carroll,13.11.2012,1705
Duane Huffman,06.12.2009,6123
George Ashbrook,14.02.2011,131
George Ashbrook,14.02.2011,196
Jonathan Howell,06.02.2011,644
Jonathan Howell,06.02.2011,1218
David Philippe,01.04.2010,800
Matt Hagelstein,21.02.2012,271
Edward Nazzal,06.12.2009,2980
Edward Nazzal,06.12.2009,476
Magdelene Morse,27.06.2012,826
Eudokia Martin,22.05.2009,5649
Darren Budd,05.03.2010,53
Jesus Ocampo,18.06.2009,4484
Allen Golden,07.05.2012,50
Allen Golden,07.05.2012,2980
Cynthia Arntzen,01.04.2012,154
Eileen Kiefer,17.07.2011,461
Philip Brown,10.03.2011,2946
Darren Budd,26.01.2012,183
Darren Budd,26.01.2012,88
Ruben Ausman,27.11.2010,3338
Ruben Ausman,27.11.2010,1018
Ruben Ausman,27.11.2010,2679
Eileen Kiefer,28.03.2009,2365
George Bell,03.12.2012,17
George Bell,03.12.2012,465
Matt Collister,01.02.2010,38
Matt Collister,01.02.2010,520
Cynthia Arntzen,25.11.2009,29
Brian Stugart,03.09.2012,847
Edward Becker,29.03.2009,177
Noah Childs,19.03.2009,97
Darren Budd,17.03.2010,731
Dave Hallsten,04.01.2009,1040
Edward Nazzal,25.05.2011,204
Edward Nazzal,25.05.2011,33
Anemone Ratner,20.05.2011,2011
Dan Lawera,07.09.2011,389
Nancy Lomonaco,21.07.2009,1245
Dan Lawera,17.12.2011,138
Dan Lawera,17.12.2011,5744
Dan Lawera,17.12.2011,452
Theresa Coyne,08.11.2012,112
Lena Creighton,09.06.2010,78
Lena Creighton,09.06.2010,52
David Philippe,04.03.2012,824
Lena Creighton,21.12.2012,1390
James Lanier,27.02.2009,11613
Darren Budd,10.03.2010,812
Philip Brown,12.09.2010,104
Jeremy Ellison,24.03.2010,3923
Darren Budd,01.11.2011,261
Darren Budd,01.11.2011,155
Cari MacIntyre,04.11.2010,1237
Alan Hwang,12.12.2009,1072
Alan Hwang,12.12.2009,858
Magdelene Morse,14.06.2011,743
Magdelene Morse,14.06.2011,2071
Magdelene Morse,14.06.2011,764
Alan Hwang,07.03.2012,64
Alan Hwang,07.03.2012,693
